"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11715978_a_at","11715978_a_at",-0.707127010792577,6.74051387103242,-4.66754552198962,3.57174046443438e-06,0.00110036394358062,4.12174889821263,"C6orf48","50854"
"11716462_a_at","11716462_a_at",0.453640269764577,5.42475470893766,4.66462337494219,3.6215057340957e-06,0.00110192136200645,4.10915763426284,"RFXANK","8625"
"11744258_a_at","11744258_a_at",-0.575656154890384,3.07003210261222,-4.66076292503297,3.68827263136394e-06,0.00110855082039751,4.0925347270212,"ATP1B3","483"
"11718422_s_at","11718422_s_at",-0.589147756286819,3.69819397586284,-4.65780019263942,3.74031363144647e-06,0.00111064782844132,4.07978616335324,"CCNB1IP1","57820"
"11739944_x_at","11739944_x_at",-0.674131961388501,7.09115076911845,-4.652825349848,3.82928781770421e-06,0.00112353128041831,4.05839676258373,"NBPF8","728841"
"11722458_a_at","11722458_a_at",-0.526876221311281,2.82547312111845,-4.64665649175266,3.94244190059433e-06,0.00112882151570945,4.03190366720188,"TMEM206","55248"
"11732278_at","11732278_at",-0.537980327195689,7.98916295908479,-4.64475323864212,3.97799624542637e-06,0.00112882151570945,4.02373656176792,"FOXP1","27086"
"11733829_x_at","11733829_x_at",1.76874601959968,7.97825763571696,4.64439501251267,3.98472254591911e-06,0.00112882151570945,4.02219972058969,"HP","3240"
"11757677_x_at","11757677_x_at",0.738215219713256,6.33247032361596,4.63763859282379,4.11365001894832e-06,0.00114371899221986,3.99323469479951,"UBE2F","140739"
"11758158_s_at","11758158_s_at",-0.566034725344676,7.97084905539152,-4.63351889730088,4.19421851967196e-06,0.00114371899221986,3.97559296153833,"FOXP1","27086"
"11757901_x_at","11757901_x_at",-0.759300784685776,4.59600287508229,-4.63223055574412,4.2197239471232e-06,0.00114371899221986,3.97007895016837,"CXXC5","51523"
"11732143_at","11732143_at",-0.305166315471226,2.78257585124688,-4.63206894434601,4.22293387535534e-06,0.00114371899221986,3.96938736703593,"TSR1","55720"
"11747077_x_at","11747077_x_at",-0.35996137627296,10.9789411230374,-4.62371183246549,4.39215564469197e-06,0.00115188109946189,3.93365588885542,"EEF1A1","1915"
"11754649_s_at","11754649_s_at",-1.16560988547783,4.55299317707107,-4.62366031783385,4.39321866869482e-06,0.00115188109946189,3.93343582321164,"ITK","3702"
